Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
De'Aaron Fox,PG,22,SAC,51,49,32,7.7,16,0.44,1.1,3.6,0.336,6.6,12.4,0.541,0.547,4.7,6.7,0.798,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
Buddy Hield,SG,27,SAC,72,44,30.8,6.9,16.1,0.46,3.8,9.6,0.591,3.2,6.6,0.437,0.525,1.6,1.9,0.882,0.8,3.8,4.6,3,0.9,0.2,2.3,2.3,19.2
Bogdan Bogdanović,SG,27,SAC,61,28,29,5.5,12.6,0.467,2.7,7.2,0.387,2.8,5.3,0.625,0.479,1.4,1.9,0.795,0.4,3,3.4,3.4,1,0.2,1.7,2.2,15.1
Harrison Barnes,PF,27,SAC,72,72,34.5,5.1,11,0.648,1.4,3.7,0.406,3.7,7.3,0.558,0.648,3,3.7,0.733,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5
Marvin Bagley III,C,20,SAC,13,6,25.7,6,12.8,0.481,0.3,1.7,0.376,5.7,11.2,0.455,0.583,1.9,2.4,0.721,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
Nemanja Bjelica,PF,31,SAC,72,67,27.9,4.4,9.1,0.583,1.9,4.4,1,2.5,4.6,0.667,0.597,1,1.2,0.465,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3,11.5
Kent Bazemore,SF,30,SAC,25,0,23.1,3.5,8.3,0.554,1.1,2.9,0,2.4,5.4,0.589,0.554,2.2,3,0.75,0.6,4.3,4.9,1.3,1.2,0.4,1.2,3,10.3
Jabari Parker,PF,24,SAC,6,0,13.3,3.5,6,0.415,0.2,0.7,0.231,3.3,5.3,0.55,0.483,1.3,1.5,0.769,1.2,2.7,3.8,1.7,0.5,0.2,0.7,1,8.5
Harry Giles,C,21,SAC,46,17,14.5,3,5.5,0.388,0,0,0.2,3,5.4,0.505,0.518,0.8,1.1,0.769,0.9,3.2,4.1,1.3,0.5,0.4,1,2.6,6.9
Cory Joseph,PG,28,SAC,72,26,24.4,2.4,5.7,0.667,0.8,2.2,0.359,1.6,3.5,0.682,0.667,0.8,1,0.6,0.6,2,2.6,3.5,0.7,0.3,1.1,1.8,6.4
Trevor Ariza,SF,34,SAC,32,0,24.7,2,5.2,0.593,1.3,3.8,0.352,0.7,1.3,0.473,0.61,0.7,0.8,0.5,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2,6
Alex Len,C,26,SAC,15,3,15,2.3,3.9,0.42,0.1,0.2,0.399,2.2,3.7,1,0.484,1.1,1.6,0.857,2.1,4,6.1,0.5,0.2,1,1.1,2.3,5.9
Dewayne Dedmon,C,30,SAC,34,10,15.9,2,5,0.5,0.4,2.1,0.385,1.6,2.9,0.667,0.563,0.7,0.8,0.848,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
Yogi Ferrell,PG,26,SAC,50,0,10.6,1.6,3.8,0.417,0.5,1.6,0.39,1.1,2.2,0.5,0.47,0.7,0.8,0.843,0.1,0.9,1,1.4,0.4,0.1,0.6,0.8,4.4
DaQuan Jeffries,SG,22,SAC,13,0,10.8,1.5,3.1,0.353,0.4,1.4,0.388,1.2,1.7,0.5,0.382,0.4,0.5,0.718,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8
Justin James,SF,23,SAC,36,0,6.4,1,2.3,0.4,0.3,0.8,0.385,0.7,1.5,0.54,0.4,0.3,0.6,0.706,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5
Wenyen Gabriel,PF,22,SAC,11,0,5.5,0.5,1.5,0.5,0.1,0.7,0.13,0.5,0.8,0.519,0.5,0.5,0.9,0.864,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
Corey Brewer,PF,33,SAC,5,0,6.6,0.4,0.8,0.5,0,0.2,0.475,0.4,0.6,0.518,0.5,0.2,0.6,0.734,0.4,1.2,1.6,0.4,0.8,0,0.4,1.4,1
Anthony Tolliver,PF,34,SAC,9,0,9.1,0.3,1.9,0.531,0.2,1.7,0.324,0.1,0.2,0.47,0.535,0.1,0.2,0.784,0.2,1,1.2,0.3,0.4,0.1,0.4,0.7,1
DeMar DeRozan,SF,30,SAS,68,68,34.1,8.2,15.4,0.431,0.1,0.5,0.292,8.1,14.9,0.511,0.56,5.6,6.6,0.722,0.6,4.9,5.5,5.6,1,0.3,2.4,2.6,22.1
LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15,0.458,1.2,3,0.5,6.2,12,0.597,0.53,3,3.6,0.778,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
Patty Mills,PG,31,SAS,66,1,22.5,3.9,9.1,0.417,2.3,6.1,0.5,1.6,3,0.503,0.544,1.5,1.7,0.563,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
Derrick White,SG,25,SAS,68,20,24.7,3.7,8.1,0.462,1.2,3.2,0.2,2.6,4.9,0.434,0.494,2.6,3.1,0.6,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
Bryn Forbes,SG,26,SAS,63,62,25.1,3.8,9.2,0.446,2.3,6,0.364,1.5,3.2,0.412,0.508,1.2,1.4,1,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2
Dejounte Murray,PG,23,SAS,66,58,25.6,4.5,9.7,0.596,0.6,1.7,0.367,3.8,8,0.624,0.669,1.4,1.7,0.8,1,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
Rudy Gay,PF,33,SAS,67,5,21.8,4,8.9,0.446,1.1,3.3,0.332,2.9,5.6,0.25,0.541,1.8,2,0.375,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8
Keldon Johnson,SF,20,SAS,17,1,17.7,3.1,5.2,0.426,0.8,1.3,0.143,2.4,3.9,0.636,0.483,2.1,2.6,0.809,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
Trey Lyles,PF,24,SAS,63,53,20.2,2.4,5.4,0.392,1,2.7,0.408,1.4,2.8,0.6,0.498,0.5,0.7,0.709,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
Lonnie Walker,SG,21,SAS,61,12,16.2,2.5,5.9,0.624,0.7,1.7,0.368,1.8,4.2,0.375,0.624,0.7,1,0.575,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4
Marco Belinelli,SG,33,SAS,57,0,15.5,2.2,5.5,0.313,1.2,3.1,0.385,1,2.4,0.333,0.406,0.8,1,0.823,0.1,1.6,1.7,1.2,0.2,0,0.3,0.8,6.3
Luka Šamanić,PF,20,SAS,3,1,16,1.7,5.3,0.571,1,2.7,0.335,0.7,2.7,0.499,0.571,1,1.3,0.887,0.3,3,3.3,2,0,0.7,0.7,2,5.3
Drew Eubanks,C,22,SAS,22,3,12.4,2,3,0.31,0,0,0.393,1.9,3,0.504,0.362,0.9,1.2,0.753,1.3,2.6,3.9,0.7,0.2,0.8,1,1.7,4.9
Chimezie Metu,C,22,SAS,18,0,5.8,1.3,2.3,0.294,0,0.1,0.391,1.3,2.2,0.434,0.324,0.6,0.7,0.798,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
DeMarre Carroll,SF,33,SAS,15,0,9,0.6,1.9,0.25,0.2,0.9,0.357,0.4,1.1,0.575,0.25,0.8,1.3,0.833,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
Quinndary Weatherspoon,SG,23,SAS,11,0,7.1,0.5,1.5,0.453,0.1,0.5,0.388,0.4,1.1,0.559,0.512,0.1,0.2,0.86,0.1,0.5,0.6,1,0.3,0.1,0.5,0.7,1.1
Pascal Siakam,PF,25,TOR,60,60,35.2,8.3,18.4,0.413,2.2,6.1,0.368,6.2,12.3,0.541,0.507,4,5.1,0.818,1.1,6.3,7.3,3.5,1,0.9,2.5,2.8,22.9
Kyle Lowry,PG,33,TOR,58,58,36.2,5.8,13.8,0.495,2.8,8,0.343,2.9,5.8,0.473,0.586,5.1,5.9,0.824,0.6,4.5,5,7.5,1.4,0.4,3.1,3.3,19.4
Fred VanVleet,SG,25,TOR,54,54,35.7,5.9,14.3,0.512,2.7,6.9,0.317,3.2,7.4,0.497,0.564,3.1,3.7,0.873,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6
Norman Powell,SG,26,TOR,52,26,28.4,5.7,11.5,0.505,2.1,5.3,0.386,3.6,6.3,0.569,0.584,2.5,2.9,0.776,0.5,3.2,3.7,1.8,1.2,0.4,1.5,2.1,16
Serge Ibaka,C,30,TOR,55,27,27,6.2,12.2,0.456,1.3,3.3,0.339,5,8.9,0.51,0.564,1.6,2.3,0.824,2.1,6.1,8.2,1.4,0.5,0.8,2,2.8,15.4
OG Anunoby,SF,22,TOR,69,68,29.9,4.1,8.2,0.427,1.3,3.3,0.344,2.9,4.9,0.484,0.529,1,1.5,0.776,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6
Terence Davis,SG,22,TOR,72,4,16.8,2.8,6.1,0.471,1.3,3.4,0.363,1.5,2.7,0.6,0.476,0.7,0.8,0.802,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5
Marc Gasol,C,35,TOR,44,43,26.4,2.7,6.3,0.472,1.3,3.4,0.372,1.4,3,0.429,0.535,0.8,1.1,0.769,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5
Rondae Hollis-Jefferson,PF,25,TOR,60,6,18.7,2.6,5.5,0.487,0.1,0.4,0.271,2.5,5.1,0.333,0.643,1.8,2.4,0.646,1.8,2.9,4.7,1.8,0.8,0.4,1,1.9,7
Chris Boucher,C,27,TOR,62,0,13.2,2.3,4.8,0.414,0.6,1.9,0.427,1.7,2.9,0.667,0.485,1.5,1.9,0.838,1.7,2.7,4.5,0.4,0.4,1,0.5,1.8,6.6
Matt Thomas,SG,25,TOR,41,1,10.7,1.8,3.7,0.526,1.1,2.4,0.355,0.6,1.2,0.476,0.632,0.2,0.3,0.648,0.2,1.3,1.5,0.5,0.2,0,0.4,0.9,4.9
Patrick McCaw,SF,24,TOR,37,12,24.5,1.8,4.4,0.373,0.6,1.9,0.344,1.2,2.5,0.571,0.432,0.4,0.5,0.793,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
Paul Watson,SF,25,TOR,8,0,8.8,1.3,2.4,0.357,0.5,1.1,0,0.8,1.3,0.487,0.393,0.9,1.1,0.772,0.3,1.6,1.9,0.6,0.4,0.1,0.4,0.5,3.9
Stanley Johnson,PF,23,TOR,25,0,6,0.9,2.4,0.6,0.3,1,0.319,0.6,1.4,0.506,0.7,0.4,0.6,0.588,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4
Dewan Hernandez,C,23,TOR,6,0,4.7,0.8,2.3,0.361,0.2,0.3,0.349,0.7,2,0.551,0.403,0.5,0.8,0.606,0.8,1.5,2.3,0.5,0.2,0,0.5,1,2.3
Shamorie Ponds,PG,21,TOR,4,0,2.8,0.8,1.3,0.414,0.3,0.5,0.325,0.5,0.8,0.461,0.552,0.5,0.5,0.84,0,0.3,0.3,0.5,0,0.3,0,0.5,2.3
Oshae Brissett,SF,21,TOR,19,0,7.1,0.7,1.9,0.426,0.2,0.8,0.33,0.5,1.1,0.533,0.519,0.4,0.5,0.714,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
Malcolm Miller,SF,26,TOR,28,1,5.8,0.4,1,0.447,0.3,0.8,0.341,0.1,0.3,0.439,0.504,0.1,0.3,0.806,0.1,0.5,0.6,0.4,0.2,0.1,0.1,0.6,1.3
D'Angelo Russell,PG,23,TOT,45,45,32.3,8,18.8,0.533,3.5,9.6,0.359,4.5,9.2,0.603,0.536,3.6,4.4,0.72,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
Andrew Wiggins,SF,24,TOT,54,54,34.4,8.1,18.1,0.438,2.1,6.2,0.206,6,11.9,0.593,0.526,3.5,5,0.62,1.2,3.9,5.1,3.7,0.8,1,2.4,2.4,21.8
Andre Drummond,C,26,TOT,57,56,33,7.3,13.8,0.454,0.1,0.6,0.347,7.2,13.1,0.425,0.542,3,5.2,0.86,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
Marcus Morris,SF-PF,30,TOT,62,62,31.2,5.7,13.1,0.418,2.3,5.6,0.222,3.4,7.5,0.534,0.493,2.9,3.5,0.833,1,4.1,5,1.4,0.8,0.5,1.6,2.9,16.7
Jordan Clarkson,SG,27,TOT,71,2,24,5.5,12.2,0.51,2.1,5.8,0.368,3.4,6.4,0.433,0.548,1.9,2.3,0.591,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5,15.2
Alec Burks,SF-SG,28,TOT,66,19,26.6,4.9,11.6,0.422,1.8,4.6,0.375,3.1,7.1,0.465,0.533,3.6,4,0.5,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15
Jabari Parker,PF,24,TOT,38,23,24.1,5.8,11.3,0.411,0.8,3.1,0.32,4.9,8.2,0.5,0.498,1.6,2.1,0.741,1.6,4,5.6,1.8,1.2,0.4,1.7,2.6,14
Robert Covington,PF-C,29,TOT,70,68,30.5,4.4,10.3,0.486,2.3,6.9,0.303,2.1,3.5,0.457,0.552,1.4,1.8,1,0.9,5.7,6.6,1.3,1.6,1.3,1.5,3.1,12.4
Reggie Jackson,SG-PG,29,TOT,31,16,24,4.3,10.5,0.407,1.8,4.7,0.349,2.5,5.8,0.538,0.469,1.5,1.7,0.702,0.5,2.4,3,4.1,0.4,0.2,1.6,1.9,11.9
Glenn Robinson III,SF,26,TOT,62,52,28.8,4.6,9.5,0.425,1.2,3.2,0.333,3.4,6.4,0.519,0.525,1.2,1.4,0.714,1.3,3,4.4,1.5,0.9,0.3,0.9,1.6,11.7
Jordan McRae,SG,28,TOT,37,4,21.2,4,9.9,0.414,1.2,3.4,0.275,2.8,6.5,0.5,0.49,2.2,2.9,0.744,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2,11.5
Malik Beasley,SG,23,TOT,55,14,22,4.1,9.7,0.436,1.9,5,0.348,2.2,4.7,0.602,0.48,1,1.2,0.862,0.3,2.4,2.7,1.4,0.7,0.1,1,1.4,11.2
Dion Waiters,SG,28,TOT,10,0,20.7,4.1,9.9,0.401,1.5,4.7,0.351,2.6,5.2,0.4,0.521,1.4,1.7,0.643,0.2,2.2,2.4,2,0.4,0.6,1.6,2.1,11.1
Jeff Teague,PG,31,TOT,59,17,24.8,3.6,8.3,0.412,0.7,2,0.2,2.9,6.3,0.565,0.496,2.9,3.3,0.625,0.5,1.9,2.4,5.2,0.7,0.3,2,1.8,10.9
Jae Crowder,SF-PF,29,TOT,65,53,28.8,3.5,8.7,0.443,2.1,6.1,0.242,1.4,2.6,0.556,0.539,1.5,1.9,0.5,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5
Shabazz Napier,PG,28,TOT,56,32,24,3.4,8.1,0.462,1.4,4.3,0.338,2,3.9,0.619,0.552,2.3,2.7,0.9,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3
Markieff Morris,PF,30,TOT,58,17,20.5,3.5,7.9,0.375,1.5,3.9,0.333,2,4,0.463,0.453,1.1,1.5,0.781,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7
Jeff Green,PF-C,33,TOT,48,4,20,3.3,7.2,0.479,1.3,3.8,0.333,2,3.4,0.528,0.556,1.5,1.9,0.69,0.5,2.3,2.8,1,0.5,0.4,0.9,1.9,9.4
Kent Bazemore,SF,30,TOT,68,21,24.8,2.9,7.9,0.438,1.2,3.6,0.182,1.7,4.3,0.389,0.557,1.7,2.2,0.724,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8
James Johnson,PF-C,32,TOT,32,1,19.3,3.2,6.7,0.555,1,2.8,0.333,2.2,3.9,0.581,0.58,1,1.5,0.613,0.8,2.9,3.7,2.3,0.8,1,1.5,2.5,8.4
Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,0.45,1.5,3.9,0.25,1.2,2.2,0.45,0.526,1.2,1.4,0.778,0.6,4,4.6,1.7,1.3,0.3,1.1,2.1,8
Alex Len,C,26,TOT,55,12,17.6,3.2,5.8,0.456,0.3,1.1,0,2.9,4.7,0.531,0.53,1.2,1.9,0.889,1.8,4,5.8,0.9,0.4,0.9,1,2.3,8
Trey Burke,PG,27,TOT,33,1,15.8,2.8,6.3,0.353,1,2.3,0.3,1.9,4.1,0.553,0.488,0.7,0.9,1,0.5,1,1.5,2.5,0.5,0.1,0.6,1,7.4
Gorgui Dieng,C,30,TOT,63,17,17.4,2.6,5.8,0.579,0.9,2.4,0.375,1.8,3.4,0.504,0.579,1.2,1.6,0.786,1.4,4.2,5.6,1.2,0.8,0.9,1,2,7.4
Brandon Knight,SG-PG,28,TOT,25,3,18.5,2.4,6.7,0.388,1.8,5.2,0.417,0.6,1.4,0.475,0.464,0.8,1.4,0.529,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
Willie Cauley-Stein,C,26,TOT,54,39,20.3,3.2,5.6,0.446,0,0,0,3.2,5.6,0.568,0.527,0.7,1.2,0.682,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2
Tyler Johnson,PG-SG,27,TOT,39,7,18.2,2.5,6.4,0.446,1,3.1,0,1.5,3.4,0.541,0.522,1.1,1.3,1,0.5,1.5,1.9,1.9,0.4,0.2,0.7,1.5,7
Dragan Bender,PF-C,22,TOT,16,3,17.9,2.6,5.8,0.427,0.9,2.7,0.366,1.6,3.1,0.584,0.5,0.6,0.9,0.778,1,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7
James Ennis,SF-SG,29,TOT,69,18,18.3,2.3,5.2,0.405,0.8,2.4,0.414,1.5,2.8,0.644,0.494,1.1,1.4,0.875,1,2.5,3.6,0.9,0.5,0.3,0.8,2,6.6
Keita Bates-Diop,PF-SF,24,TOT,44,0,16.9,2.3,5.3,0.446,0.8,2.3,0.366,1.5,3,0.439,0.551,1.2,1.7,0.5,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1,6.5
Juan Hernangómez,PF,24,TOT,48,14,17.4,2.1,5.1,0.4,0.9,2.7,0.375,1.2,2.5,0.412,0.443,0.9,1.5,1,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6
Marvin Williams,PF,33,TOT,58,1,19.5,2.1,4.6,0.502,1,2.7,0.399,1.1,1.9,0.42,0.562,0.8,1,0.863,0.5,2.6,3.2,1,0.6,0.5,0.6,1.8,5.9
Dewayne Dedmon,C,30,TOT,44,18,17.6,2.3,5.8,0.556,0.5,2.4,0.327,1.8,3.4,0.466,0.579,0.7,0.8,0.903,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3,5.8
Maurice Harkless,PF-SF,26,TOT,62,48,23,2.3,4.6,0.396,0.5,1.6,0.345,1.7,3,0.539,0.509,0.6,1.1,0.785,0.9,3,3.9,1.1,0.9,0.5,0.9,2.4,5.8
John Henson,C,29,TOT,40,8,15,2.4,4.3,0.393,0.2,0.9,0.377,2.2,3.4,0.337,0.489,0.6,1.2,0.63,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2,5.5
Solomon Hill,PF,28,TOT,59,4,18.4,1.9,4.7,0.371,1.1,2.9,0.4,0.8,1.8,0.443,0.45,0.7,0.9,0.827,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5
Chris Chiozza,PG,24,TOT,28,2,14.3,2,5,0.356,1,2.6,1,1,2.4,0.481,0.458,0.2,0.2,0.787,0.3,1.6,1.9,3,0.8,0.1,1.1,1.3,5.1
Jerome Robinson,SG,22,TOT,63,6,15.5,1.8,4.9,0.471,0.8,2.4,0.2,1,2.5,0.682,0.534,0.6,0.9,0.778,0.2,1.8,2,1.4,0.4,0.3,0.8,1.8,5.1
Allen Crabbe,SG-SF,27,TOT,37,1,17.6,1.7,4.8,0.336,1,3.2,0.368,0.7,1.6,0.682,0.384,0.3,0.4,0.759,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
Dante Exum,SG,24,TOT,35,1,13.9,1.6,3.4,0.36,0.4,1.2,0.176,1.2,2.2,0.636,0.428,0.9,1.2,0.764,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
Jacob Evans,SG,22,TOT,29,1,14.4,1.6,4.6,0.387,0.4,1.3,0.231,1.1,3.3,0.515,0.511,0.9,1,0.833,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
Treveon Graham,SF,26,TOT,55,20,16.9,1.6,4.4,0.682,0.6,2.2,0.333,1,2.2,0.432,0.682,0.7,1,0.652,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
Troy Daniels,SG,28,TOT,47,0,11.3,1.5,4,0.406,1,2.8,0.375,0.6,1.1,0.564,0.553,0.2,0.3,0.75,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8,4.3
Gary Clark,SF-PF,25,TOT,42,5,13.5,1.3,3.2,0.379,0.9,2.6,0,0.4,0.5,0.571,0.439,0.2,0.2,0.826,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7
Noah Vonleh,C,24,TOT,36,1,10.5,1.4,2.6,0.357,0.1,0.4,0.353,1.4,2.1,0.444,0.492,0.7,0.9,0.5,1,2.4,3.4,0.8,0.3,0.2,0.6,1.1,3.7
DeMarre Carroll,SF-C,33,TOT,24,0,12.1,1,2.8,0.522,0.3,1.4,0.424,0.7,1.4,0.37,0.552,1.2,1.8,1,0.5,1.8,2.3,1,0.3,0.2,0.7,1.3,3.6
Anthony Tolliver,PF,34,TOT,55,13,15.9,1.2,3.3,0.385,0.9,2.6,0.287,0.3,0.7,0.622,0.462,0.4,0.5,0.5,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6
Jordan Bell,C,25,TOT,29,0,8.8,1.2,2.3,0.427,0.1,0.4,0.407,1.1,1.9,0.536,0.461,0.7,1.1,0.75,1,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
Paul Watson,SF,25,TOT,10,0,8.7,1,2.6,0.389,0.4,1.2,0.377,0.6,1.4,0,0.472,0.7,0.9,1,0.2,1.5,1.7,0.8,0.4,0.1,0.3,0.5,3.1
Bruno Caboclo,C,24,TOT,30,0,8.1,1.3,3,0.333,0.2,1.1,0.413,1.1,1.9,0.533,0.371,0.3,0.3,0.842,0.8,1.2,2,0.4,0.5,0.6,0.4,1,3
Jarrod Uthoff,PF,26,TOT,7,0,7.6,1,2.6,0.596,0.4,1.3,0.358,0.6,1.3,0.667,0.596,0.3,0.3,0.852,0.3,0.6,0.9,0,0.1,0,0,0.3,2.7
Michael Kidd-Gilchrist,PF,26,TOT,25,0,11.2,0.9,2.6,0.438,0.2,0.8,0.367,0.7,1.8,0.571,0.5,0.4,0.6,0.829,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4
Caleb Swanigan,PF-C,22,TOT,27,1,10.7,1,1.7,0.25,0,0.1,0.341,1,1.7,0.714,0.375,0.3,0.6,0.741,1,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4
Wenyen Gabriel,PF,22,TOT,30,1,7.8,0.7,1.6,0.462,0.2,0.7,0.349,0.5,0.9,0.494,0.59,0.5,0.7,0.771,0.7,1,1.7,0.3,0.4,0.2,0.5,1.3,2.1
Zach Norvell,SG,22,TOT,5,0,8.2,0.6,2.4,0.667,0.6,1.6,0.313,0,0.8,0.479,0.667,0.2,0.2,0.816,0,1.2,1.2,0.6,0.4,0,0.6,0.8,2
Derrick Walton,PG,24,TOT,26,1,9.5,0.7,1.5,0.364,0.4,0.9,0.192,0.3,0.6,0.547,0.364,0.3,0.3,0.831,0.1,0.5,0.6,1,0.3,0,0.2,0.8,2
Jonah Bolden,C,24,TOT,7,0,6.7,0.6,1.6,0.449,0,0.6,0,0.6,1,0.437,0.513,0.3,0.6,0.784,0.4,0.9,1.3,0,0.4,0.3,0.3,1.4,1.4
Jarred Vanderbilt,PF,20,TOT,11,0,4.2,0.5,0.7,0.447,0,0.1,0.413,0.5,0.6,0.525,0.548,0.2,0.2,0.763,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
Donovan Mitchell,SG,23,UTA,69,69,34.3,8.7,19.4,0.462,2.5,6.9,0.352,6.2,12.6,0.451,0.548,4,4.7,0.821,0.8,3.6,4.4,4.3,1,0.2,2.7,2.5,24
Bojan Bogdanović,SF,30,UTA,63,63,33.1,6.6,14.8,0.693,3,7.3,0.6,3.6,7.6,0.504,0.693,4,4.4,0.619,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
Jordan Clarkson,SG,27,UTA,42,2,24.7,6,12.9,0.409,2.2,6,0.25,3.7,6.8,0.545,0.494,1.5,1.9,0.75,0.7,2.1,2.8,1.6,0.7,0.2,1.4,1.8,15.6
Mike Conley,PG,32,UTA,47,41,29,4.9,12.1,0.385,2,5.4,0.311,2.9,6.6,0.661,0.472,2.4,3,0.912,0.7,2.5,3.2,4.4,0.8,0.1,2,2.2,14.4
Joe Ingles,PF,32,UTA,72,45,29.7,3.4,7.7,0.462,2,4.9,0,1.5,2.8,0.5,0.508,1,1.3,0.812,0.4,3.5,3.9,5.2,0.9,0.2,2,2.1,9.8
Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,0.433,1.1,3.5,0.438,1.4,3,0.385,0.559,1.6,2.1,0.714,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8
Emmanuel Mudiay,PG,23,UTA,54,2,15.7,2.8,6.1,0.438,0.6,1.6,0.6,2.2,4.4,0.654,0.578,1.2,1.5,0.5,0.3,2,2.3,2.1,0.4,0.2,1.4,1.3,7.3
Royce O'Neale,SF,26,UTA,71,62,28.9,2.2,5.1,0.667,1.3,3.4,,0.9,1.7,0.467,0.675,0.6,0.8,0.667,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,6.3
Georges Niang,PF,26,UTA,66,1,14,2.1,4.9,0.35,1.4,3.4,,0.8,1.5,0.471,0.4,0.3,0.4,0.538,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9
Tony Bradley,C,22,UTA,58,3,11.4,2.2,3.3,0.375,0.1,0.1,,2.1,3.2,0.478,0.484,0.5,0.8,,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2,4.9
Justin Wright-Foreman,PG,22,UTA,4,0,11.3,1.8,5,0.465,0.5,2.5,,1.3,2.5,0.667,0.5,0.8,1,,0,1.3,1.3,1.8,0.5,0,0.8,1.3,4.8
Miye Oni,SF,22,UTA,10,1,10.9,1.2,3.2,0.357,0.7,1.9,,0.5,1.3,0.333,0.411,0.4,0.5,,0.5,1.2,1.7,0.4,0.4,0.2,0.4,0.9,3.5
Rayjon Tucker,SG,22,UTA,20,0,8.1,1,2.2,0.435,0.2,0.9,,0.9,1.3,0,0.478,1,1.2,,0.2,0.9,1,0.3,0.1,0.1,0.4,0.5,3.1
Jarrell Brantley,PF,23,UTA,9,0,10.7,1.1,3.1,0.478,0.3,1.4,,0.8,1.7,0.515,0.478,0.1,0.2,,0.2,2,2.2,1.2,0.3,0.6,0.8,0.8,2.7
Dante Exum,SG,24,UTA,11,0,7.5,0.9,2.1,0.577,0.2,0.5,,0.7,1.5,0.471,0.635,0.2,0.2,,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
