Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,PG,31,GSW,5,5,27.8,6.6,16.4,0.406,2.4,9.8,0.308,4.2,6.6,0.55,0.476,5.2,5.2,0.759,0.8,4.4,5.2,6.6,1,0.4,3.2,2.2,20.8
Andrew Wiggins,SF,24,GSW,12,12,33.6,7.2,15.7,0.497,1.7,4.9,0.348,5.5,10.8,0.522,0.526,3.4,5.1,0.614,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4
Alec Burks,SF,28,GSW,48,18,29,5.1,12.5,0.481,1.8,4.7,0.342,3.3,7.9,0.471,0.548,4.2,4.7,0.793,0.8,3.9,4.7,3.1,1,0.4,1.6,2.2,16.1
Eric Paschall,PF,23,GSW,60,26,27.6,5.3,10.7,0.417,0.6,2.2,0.231,4.7,8.5,0.667,0.5,2.7,3.5,0.829,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14
Glenn Robinson III,SF,26,GSW,48,48,31.6,5.1,10.6,0.388,1.4,3.5,0.071,3.7,7,0.584,0.507,1.3,1.5,0.6,1.4,3.3,4.7,1.8,0.9,0.3,1,1.7,12.9
Damion Lee,SG,27,GSW,49,36,29,4.3,10.4,0.545,1.7,4.9,0.375,2.6,5.6,0.541,0.556,2.2,2.6,0.862,0.7,4.2,4.9,2.7,1,0.1,1.4,2.4,12.7
Mychal Mulder,SF,25,GSW,7,3,29.1,3.7,9.6,0.437,2.3,7.4,0,1.4,2.1,0.392,0.514,1.3,1.7,0.842,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11
Marquese Chriss,PF,22,GSW,59,21,20.3,3.6,6.5,0.333,0.1,0.7,0.355,3.4,5.9,0.533,0.406,2,2.6,0.75,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3
Dragan Bender,PF,22,GSW,9,3,21.7,3.4,7.9,0.5,1.2,3.8,0.258,2.2,4.1,0.465,0.568,0.9,1.2,1,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9
Jordan Poole,SG,20,GSW,57,14,22.4,2.9,8.8,0.389,1.3,4.6,0.317,1.6,4.2,0.56,0.446,1.7,2.1,0.833,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
Jeremy Pargo,PG,33,GSW,3,0,14.7,3.7,7.3,0.56,1,2.3,0.354,2.7,5,0.454,0.56,0,0.3,0.865,0.3,0.7,1,2.7,0.3,0,1.3,2.7,8.3
Draymond Green,PF,29,GSW,43,43,28.4,2.9,7.3,0.431,0.8,3,0.315,2,4.3,0.472,0.503,1.5,1.9,0.763,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8
Omari Spellman,C,22,GSW,49,3,18.1,2.6,6,0.46,0.9,2.2,0.4,1.7,3.8,0.337,0.524,1.5,1.9,0.529,1.6,2.9,4.5,1,0.7,0.5,1.1,1.3,7.6
Ky Bowman,PG,22,GSW,45,12,22.6,3,7.1,0.338,0.7,2.4,0.356,2.2,4.8,0.63,0.387,0.8,0.9,0.857,0.5,2.2,2.7,2.9,1,0.2,1.6,2.3,7.4
Juan Toscano-Anderson,SG,26,GSW,13,6,20.9,2.2,4.8,0.5,0.6,1.8,0.358,1.6,3.1,0.431,0.538,0.2,0.4,0.8,0.7,3.3,4,2,1,0.4,1.2,2.3,5.3
Jacob Evans,SG,22,GSW,27,1,15.3,1.7,4.9,0.367,0.5,1.4,0.25,1.2,3.5,0,0.373,0.9,1.1,0.811,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
Alen Smailagić,C,19,GSW,14,0,9.9,1.4,2.9,0.273,0.2,0.9,0.346,1.2,1.9,0,0.409,1.1,1.4,0.746,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1,4.2
Kevon Looney,C,23,GSW,20,4,13.1,1.5,4,0,0.1,0.7,0,1.4,3.3,0.556,0,0.5,0.6,0.703,1.4,1.9,3.3,1,0.6,0.3,0.6,1.7,3.4
Zach Norvell,SG,22,GSW,3,0,12,1,3.7,0.444,1,2.7,0.353,0,1,0.514,0.543,0.3,0.3,0.813,0,1.7,1.7,1,0.7,0,1,1.3,3.3
Chasson Randle,PG,26,GSW,3,0,13.3,0,1.3,0.472,0,0.7,0.25,0,0.7,0.469,0.493,1.7,2,0.773,0,0.7,0.7,1.7,0.7,0,0,1,1.7
James Harden,SG,30,HOU,68,68,36.5,9.9,22.3,0.369,4.4,12.4,0.2,5.5,9.9,0.629,0.473,10.2,11.8,0.909,1,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
Russell Westbrook,PG,31,HOU,57,57,35.9,10.6,22.5,0.629,1,3.7,0.278,9.6,18.7,0.8,0.629,5.1,6.7,0.679,1.8,6.2,7.9,7,1.6,0.4,4.5,3.5,27.2
Eric Gordon,SF,31,HOU,36,15,28.2,4.8,12.9,0.564,2.7,8.4,0.174,2.1,4.4,0.61,0.658,2.3,3,0.857,0.3,1.7,2,1.5,0.6,0.4,1.2,1.9,14.4
Jeff Green,C,33,HOU,18,2,22.6,4.7,8.3,0.427,1.6,4.4,0,3.1,3.9,0.656,0.546,1.3,1.6,0.375,0.6,2.3,2.9,1.7,0.8,0.5,0.8,2.4,12.2
Robert Covington,C,29,HOU,22,21,33,4,10.3,0.444,2.4,7.6,0.403,1.6,2.7,0.498,0.61,1.1,1.4,0.643,1.2,6.8,8,1.5,1.6,2.2,1.4,3.3,11.6
Danuel House,SF,26,HOU,63,52,30.4,3.7,8.6,0.421,2,5.6,0.254,1.6,2.9,0.551,0.517,1.2,1.4,0.5,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5
Ben McLemore,SF,26,HOU,71,23,22.8,3.4,7.7,0.415,2.5,6.4,0.326,0.9,1.3,0.647,0.541,0.7,0.9,0.462,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1
Austin Rivers,SG,27,HOU,68,4,23.4,3.1,7.4,0.432,1.4,4,0.317,1.7,3.4,0.571,0.5,1.1,1.6,0.819,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8
P.J. Tucker,PF,34,HOU,72,72,34.3,2.5,5.9,0.401,1.5,4.2,0.335,1,1.8,0.71,0.532,0.5,0.7,0.723,1.6,5.1,6.6,1.6,1.1,0.5,1,3.2,6.9
DeMarre Carroll,C,33,HOU,9,0,17.2,1.8,4.1,0.657,0.6,2.2,0.344,1.2,1.9,0.625,0.657,1.9,2.4,0.892,0.6,2.1,2.7,1.6,0.7,0.3,0.8,1.3,6
Chris Clemons,SG,22,HOU,33,0,8.8,1.7,4.3,0.39,1.1,3.2,0.435,0.6,1.1,0.667,0.542,0.3,0.3,0.814,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9
